ID,Mã vận đơn,Trạng thái,Sản phẩm,Số lượng,Đơn giá,Giảm giá,Ngày tạo đơn,Ngày cập nhật,Tỉnh thành phố,Ngày giờ đẩy đơn sang đvvc,Thẻ,Ảnh SP,Doanh thu chưa trừ phí sàn,Tiền thanh toán thực tế,Tổng phí đối soát,Sàn trợ giá,khác,phí aff,tên aff,tiền spf ship,tiền thực nhận,tiền ship shop chịu,phí giao dịch,phí hoa hồng tiktok shop,phí 9% thực tế,phí xtra,phí flash sale,ghi chú,thuế,phí tiktok bù,Phí xử lý đơn hàng
579840680450098391,,Đã huỷ,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,0,02/08/2025,02/08/2025,Hà Tĩnh,,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,0,95000,,0,,,trongcaykhongkho25,,,,,,,,,,,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835014667405052,859377424602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 500ml",1,350000,79275,01/08/2025,22/08/2025,Lâm Đồng,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,297500,270725,0,26775,,54145,vuonmaianhquy,0,194118,-35100,-13536,0,-13536,0,0,1 a6,-2975,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579836040039073262,,Đã huỷ,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,4750,01/08/2025,01/08/2025,Hồ Chí Minh,,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,0,95450,,0,,,tynybonsai,,,,,,,,,,,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579836301066536733,859376054304,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 500ml",1,350000,67500,01/08/2025,21/08/2025,Gia Lai,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,297500,282500,0,15000,,56500,vuonmaianhquy,0,191174,-35100,-14125,0,-14125,0,0,1 a6,-2975,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579836636362015804,859379464602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,10000,01/08/2025,21/08/2025,Bến Tre,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,85000,85000,0,0,,17000,vuonmaianhquy,0,53550,-40000,-4250,0,-4250,0,0,1 a6,-850,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579840662399190231,,Đã huỷ,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,0,02/08/2025,02/08/2025,Hà Tĩnh,,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,0,95000,,0,,,trongcaykhongkho25,,,,,,,,,,,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835745307166400,859378484602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,16500,01/08/2025,22/08/2025,Sơn La,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,123500,113500,0,10000,,22700,..nampham,0,80304,-40000,-5675,0,-5675,0,0,,-1235,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835962093307666,859370404702,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,14300,01/08/2025,21/08/2025,Kon Tum,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,115700,116000,0,0,,23140,vuonmaianhquy,0,72877,-30300,-5800,0,-5800,0,0,1 a6,-1157,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835078743065857,859377444602,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,14300,01/08/2025,21/08/2025,Hồ Chí Minh,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,115700,115700,0,0,,23140,vuonmaianhquy,0,72892,-35200,-5785,0,-5785,0,0,1 a6,-1157,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835968691144526,859376074304,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 100ml",1,95000,10000,01/08/2025,21/08/2025,Bình Dương,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,85000,85000,0,0,,17000,vuonmaianhquy,0,53550,-40000,-4250,0,-4250,0,0,1 a6,-850,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
